RegionID,RegionName,StateName,SizeRank,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
3017,Sacramento County,California,20,189600,192600,2.01E+05,204800,212700,217400,223700,227400,230600,231400,233600,237200,241900,244700,244600,245600,246500,248600,247200,247900,250300,252700,253400,253600,254600,2.58E+05,260600,2.64E+05,2.64E+05,264600,265200,2.66E+05,267900,269900,270800,274700,278600,283700,288300,289500,290700,289800,292100,295100,295900,300100,304600,304800,306200,303800,306900,307600,310400,312800,316600,319500,322200,324600,327600,330500,339600,3.43E+05,349700,346400,346600,345800,345300,350100,354700,357500,359200,355600,,
1252,Nassau County,New York,21,418600,420200,422300,420300,417600,422200,4.24E+05,424700,425100,424400,427900,425300,428500,427100,430100,429200,431600,429200,432700,438100,442500,440200,433200,427700,428400,430800,431400,436100,436400,446100,439700,439400,432200,4.37E+05,437400,443200,446700,444900,4.48E+05,449500,459200,457800,460800,463600,465700,469200,472200,475300,470300,471600,474900,479700,486200,486800,488400,486800,488900,490200,493800,499900,5.01E+05,498600,498800,505900,511200,509800,509900,507600,514600,516800,523100,520800,5.21E+05,
2993,Palm Beach County,Florida,22,156500,156300,155900,152600,155900,159300,161700,1.64E+05,166200,168700,171700,175200,178300,177800,180100,178800,179900,1.81E+05,185500,186400,1.87E+05,187500,192300,1.94E+05,195300,194700,197100,199100,205400,208400,208900,208200,206900,2.1E+05,209400,212600,210300,2.15E+05,216100,221900,221600,222900,225200,227500,2.3E+05,2.3E+05,228600,227100,226800,232600,235300,238300,236300,237200,2.36E+05,238500,243500,2.47E+05,250600,252100,259200,262800,267600,262900,2.57E+05,249500,246900,246900,249400,254400,2.6E+05,258400,256400,
2241,Cuyahoga County,Ohio,23,84900,90500,88500,86800,81300,83900,88100,9.3E+04,92600,90400,89700,8.8E+04,87700,85900,88600,91600,95900,96100,96500,9.8E+04,97400,98600,95100,96700,97200,97500,9.8E+04,92400,9.4E+04,93200,98200,96800,96700,92600,90600,9.1E+04,9.4E+04,101600,100300,102500,99100,101800,100200,1.02E+05,102500,104200,107600,109400,112400,111200,110900,111600,111900,108200,105600,1.03E+05,107400,112300,118100,119400,119500,120300,122300,121600,118100,113300,109300,1.09E+05,113800,117900,122600,123100,122700,
3165,Hillsborough County,Florida,24,128600,124600,125700,128500,134400,133800,136600,141100,143200,143300,1.4E+05,140900,139500,1.38E+05,134600,133400,133700,136600,1.4E+05,142900,144400,145200,145900,147700,149200,150400,151300,155300,1.58E+05,159900,158800,159300,161200,163500,165200,166500,168900,172900,175200,180100,181400,185200,181900,182600,181200,182200,182300,182500,185800,188800,191800,191800,190700,192400,193600,195500,195500,196800,199700,201800,2.11E+05,217900,221100,2.17E+05,211700,210600,207900,206400,206300,206600,211300,2.15E+05,219800,
2614,Allegheny County,Pennsylvania,25,115600,119100,121300,121500,120800,120500,121700,122100,123400,121800,1.21E+05,120400,116800,117900,119400,124900,123600,123600,122600,126600,127400,128200,124700,126600,126800,135300,135900,135900,129600,129300,131500,132200,132300,131200,132400,132400,135100,141100,139800,137700,131500,132600,133200,1.33E+05,132400,132900,133600,134900,135600,138200,138800,139500,139900,141300,141900,140400,139300,141300,144600,143700,142600,150300,158500,157900,148900,145500,147200,149300,148800,150700,150300,150800,,
1950,Oakland County,Michigan,26,130800,138700,139600,141500,142400,143900,148500,155900,158100,162600,160300,161700,1.59E+05,160600,157600,159100,162400,1.68E+05,169200,1.72E+05,1.78E+05,177100,172100,169700,173200,176200,176100,176400,177300,179900,179900,180200,178400,180600,182200,183800,185300,186100,187400,187100,188900,1.91E+05,188300,189900,191400,198300,198900,198400,198100,198900,201700,209600,216500,217600,206100,198300,199900,207600,213100,216200,217200,218800,219100,223700,227700,226400,219200,217500,218600,224800,2.25E+05,229900,227500,
2288,Franklin County,Ohio,27,129400,129400,125600,122900,124300,129500,135500,138100,136300,1.32E+05,1.33E+05,133900,134600,135300,136700,140100,138300,139700,139200,140900,140700,142600,142600,141800,140400,156700,157600,158200,144300,143700,143100,142800,1.43E+05,142500,140800,140200,140100,144100,149500,153200,152800,150600,152100,152900,157500,160300,163300,164100,166300,1.65E+05,163200,161600,1.64E+05,1.65E+05,165300,164200,163800,165600,167500,172600,174100,177800,175400,173500,168100,168900,1.69E+05,1.72E+05,171900,1.75E+05,177200,182600,180900,185700
2339,Hennepin County,Minnesota,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231700,233200,238100,236900,238200,235700,237500,235800,234200,233400,2.36E+05,236900,239400,241100,242300,241700,244100,244200,247500,247800,249800,249900,248500,2.49E+05,250900,255300,262600,266100,271200,2.71E+05,270600,267300,261200,262500,265200,272100,273400,274300,279900
1287,Orange County,Florida,29,127300,133600,137900,1.42E+05,141900,143500,144600,153800,158200,159400,157300,154500,155400,154700,159900,163700,168200,168800,169100,168600,167700,166700,161800,159700,161700,171200,183500,188100,193300,193800,198900,199800,205700,212100,216900,217700,218600,2.19E+05,219600,219100,2.2E+05,224200,227400,232100,231800,232400,230600,232500,236300,239200,237700,235800,234900,238100,238800,239800,240200,243800,242900,248100,2.53E+05,261300,255800,249200,243100,244700,244500,246900,245500,245500,239200,241200,241500,
1694,Fairfax County,Virginia,30,424100,425900,433300,434800,434700,442600,446200,452600,448900,451100,447300,442500,441200,4.37E+05,439900,4.4E+05,444700,445900,446300,449700,4.52E+05,459400,458900,459100,454200,458300,459500,460200,459600,458900,459500,458200,459100,459200,460500,455700,456100,455400,4.6E+05,458200,4.59E+05,461400,462600,462900,460700,460800,460200,4.62E+05,463700,464100,473900,475700,481900,475600,475300,472500,4.71E+05,4.73E+05,4.78E+05,4.83E+05,486400,495300,502300,503600,495800,497800,500200,5.01E+05,495200,493300,4.95E+05,493500,501100,
3159,Contra Costa County,California,31,344700,349700,340800,362500,3.85E+05,405600,415400,420200,424600,420500,4.23E+05,429800,439700,451200,447500,439400,428400,424100,4.29E+05,428100,436100,437900,434400,4.31E+05,428500,443900,449200,452900,447200,454400,456300,469100,468100,471600,467900,475200,481200,481300,482100,482100,490900,491500,496400,491200,490800,492300,502400,508200,518600,519300,524800,527300,531100,5.33E+05,531300,536800,542300,556200,566900,567600,565700,569200,579200,587100,5.87E+05,589200,585200,580300,5.79E+05,589100,604400,600300,598200,607800
2840,Salt Lake County,Utah,32,,,,,,,,,,239400,238100,239400,2.39E+05,240900,240400,240200,238800,237600,243200,243900,245400,2.44E+05,246500,248100,247300,242800,2.44E+05,247300,252700,254200,2.54E+05,2.56E+05,257600,256800,257600,258800,260500,260700,261600,264300,268700,270500,271500,269500,271200,2.72E+05,274400,274900,278800,2.8E+05,282900,288500,293200,296500,295600,292200,290800,295500,304400,311200,313800,315900,3.17E+05,314800,3.14E+05,315500,318900,320300,3.24E+05,327300,332300,3.3E+05,332900,
3130,Saint Louis County,Missouri,33,117400,123300,119600,130100,135800,148600,151800,148400,147700,1.45E+05,144300,141300,141300,145300,1.46E+05,1.48E+05,145200,151300,1.52E+05,153400,151500,150400,151100,154400,163800,180800,1.82E+05,178600,165600,164100,163700,164500,162800,163400,162900,165200,164800,165300,159300,157400,156200,161400,160800,160500,161500,161700,160700,158200,1.6E+05,1.68E+05,168900,167200,157200,156400,156400,158700,159200,162700,165400,166600,162500,170400,172600,180700,170100,166600,1.62E+05,163600,149700,145600,146700,160600,,
281,Pima County,Arizona,34,154500,156200,152500,153700,155600,158800,157800,158300,158100,158400,159500,159500,160800,160500,162500,161800,160500,157800,159200,159300,162700,1.63E+05,158800,152700,149900,152900,156700,156800,157800,157400,157900,1.58E+05,158800,161100,161200,1.64E+05,164700,168600,168700,171100,171800,173600,173600,175400,175100,174500,173700,172700,175500,177800,180600,180800,182300,180900,179500,174800,181200,181700,191500,194600,203700,206400,206100,208400,207300,204700,199800,197200,200400,202700,204800,202500,205300,
2975,Montgomery County,Maryland,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384500,386800,389900,393300,3.94E+05,396100,396800,400200,402400,403100,403600,402300,400600,405500,405700,407600,407100,404700,403200,4.03E+05,411700,4.21E+05,430600,429800,426600,430400,434300,435200,423800,422900,422700,427100,420600,
2347,Honolulu County,Hawaii,36,4.39E+05,435800,442800,469700,461300,467600,446300,465200,461600,459500,448200,4.57E+05,473100,485300,480600,472700,474200,478800,478100,465800,467600,474300,488300,481200,481200,4.7E+05,472300,472700,4.81E+05,473800,468400,480700,488400,495600,4.9E+05,499100,498700,542800,551500,566400,5.31E+05,526600,538400,534300,536200,532800,540900,539600,542100,5.42E+05,542600,536200,539200,551500,564300,565100,570300,564700,565900,565600,561700,567700,560300,562900,568200,571200,584900,578900,576800,5.69E+05,574700,575500,594800,
3148,Westchester County,New York,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68E+05,559300,561400,554700,563100,556800,567900,562900,566200,557600,563700,576200,570500,573800,563200,568100,550500,555100,5.75E+05,592400,590300,575100,567700,573200,569900,580100,585600,592900,578800,5.82E+05,5.96E+05,636400,646400,642800,610100,598100,592100,605300,624500,638200,
2804,Milwaukee County,Wisconsin,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148300,147500,152600,153700,158300,1.54E+05,153300,153800,1.53E+05,152700,151700,153400,161700,161700,161300,159800,159700,160700,153600,154700,154900,156600,156600,160600,164400,165300,165300,
1018,Fresno County,California,39,1.52E+05,156100,157500,1.62E+05,161200,165400,167900,171900,173300,174200,182200,184500,185700,181100,189600,190100,193100,186100,186200,185500,191400,195300,196500,191800,198500,202200,206400,202200,2.04E+05,2.06E+05,208400,209100,206600,205500,207300,213700,215800,212900,213300,2.15E+05,218300,218700,219400,222100,222900,225800,226900,229900,231600,232700,235400,232900,2.35E+05,236500,241800,243100,245600,245500,2.54E+05,252700,256900,258400,262500,262900,260200,265900,268500,267900,257900,256400,255500,257500,257700,
1388,Shelby County,Tennessee,40,97600,98600,9.9E+04,94300,91500,96800,103300,102400,101500,101800,104200,104400,102400,108400,1.13E+05,113400,113600,110500,117400,116500,117700,122900,124800,1.26E+05,119100,123800,126100,127300,123900,122700,118900,1.19E+05,120800,121900,120500,119100,120100,121400,121900,126900,129300,131300,129400,131800,129100,129400,129600,132600,132200,129500,127900,128900,131600,133800,132700,133900,136700,139300,144100,145900,150700,146700,145100,143700,147800,148800,1.45E+05,139700,137700,138300,139700,1.39E+05,139700,
1020,Fulton County,Georgia,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221800,220200,215100,213800,216700,220100,222100,2.25E+05,228900,226700,227400,2.25E+05,233400,235800,240100,238800,239700,234400,231100,227200,2.28E+05,231300,236100,2.45E+05,243900,247200,238900,238500,227600,232300,231600,236800,233400,234500,238300,
3102,Mecklenburg County,North Carolina,42,168500,175600,179200,180100,178100,178600,180600,187200,190100,190700,188100,187400,188200,189100,188400,185700,186700,188800,192100,191600,189600,186900,1.83E+05,185200,1.89E+05,195700,196500,1.99E+05,199500,199100,195200,193700,196400,197500,198200,198700,2.01E+05,199100,198700,198400,200100,200100,200100,206600,205800,207700,201500,1.99E+05,196500,194500,198500,199400,2.01E+05,202400,203200,203200,201300,202300,203600,206200,214200,226500,235400,237800,237200,2.38E+05,231700,2.32E+05,229600,235400,230700,2.31E+05,234400,245100
157,Erie County,New York,43,,,,,,,,,,,,,,,,,,,,,,124800,125800,127200,126200,125800,125300,129900,128500,129200,126300,128600,129200,128700,127800,1.27E+05,1.3E+05,134300,136900,134200,129100,128100,129300,130300,130700,131200,132700,133500,134300,136900,138200,139200,138900,141300,141400,139800,140600,141700,144400,145100,147900,1.53E+05,154500,153900,149800,145500,145600,144900,149200,149600,153400,153600,151100,
1682,DuPage County,Illinois,44,208500,205200,194800,193100,198600,217100,230100,2.34E+05,234800,233800,236400,2.36E+05,234600,2.37E+05,237300,2.4E+05,240600,239400,242900,245200,249900,251900,251700,246500,243500,253800,254900,2.54E+05,241600,2.45E+05,242400,236800,2.29E+05,228700,227900,227500,226100,229200,226700,230300,2.27E+05,232300,231200,240100,238900,238800,2.36E+05,240300,242600,245100,247500,248800,247700,245300,243400,240400,241500,240600,244800,246700,254200,265400,270900,269400,259300,260600,263100,268500,261500,259900,260800,263800,269200,276400
2694,Fairfield County,Connecticut,45,388900,371500,365700,384400,398300,415300,418700,416100,402400,396500,389600,384700,383200,377800,3.75E+05,3.75E+05,382300,390300,396300,405700,397500,395600,389200,401200,396900,399400,391300,394300,3.89E+05,386700,3.9E+05,386200,380600,3.91E+05,3.84E+05,382200,3.67E+05,3.83E+05,394400,385700,369800,359300,360900,361700,368300,3.73E+05,386800,377400,381900,378100,388900,392400,390400,388200,375500,373200,378100,386400,392500,403800,402900,412100,405600,407500,391500,389500,387700,395500,386100,385200,387700,393600,392800,
2480,Pinellas County,Florida,46,128700,130700,133800,134500,129900,1.28E+05,128700,134800,137900,138100,139300,138400,136400,137100,135800,138500,140400,1.44E+05,146300,147600,149200,154600,154800,154700,146800,1.48E+05,1.5E+05,155200,155300,156900,158200,158400,157300,159600,159500,163300,1.63E+05,170800,171100,172800,169600,176200,178500,180900,177600,178600,1.8E+05,1.83E+05,184900,193700,194200,1.99E+05,192800,196500,193400,192300,193300,195300,200500,201800,2.05E+05,214600,217700,220200,211300,213200,211300,213400,213300,217600,221600,218800,2.17E+05,
874,Bergen County,New Jersey,47,394600,394200,386900,388600,3.84E+05,397100,399200,406500,399900,396500,397400,399900,404400,408400,408100,405600,408500,408900,414800,406600,408200,4.05E+05,4.05E+05,398200,391300,397100,404700,416900,413800,414900,414500,418500,415500,415400,413400,419400,414500,412500,414400,419900,426100,4.18E+05,417500,419900,423400,429800,430200,434700,436800,433400,432500,4.28E+05,432400,434500,4.32E+05,432100,435900,440900,444900,441400,443700,442300,450500,461100,468700,465100,454500,443100,444400,456800,465800,465100,452600,
324,Wake County,North Carolina,48,193100,190400,188100,188700,189100,189100,190300,192700,197200,200900,201400,205900,201100,199600,194700,195800,198300,198300,2E+05,197900,198700,201100,204100,206800,207700,211600,217600,221800,224600,226700,228800,229600,227700,2.28E+05,230100,232900,235400,234700,232500,231600,231200,235100,236700,2.39E+05,2.4E+05,238400,238500,238900,243100,245300,247300,250800,2.51E+05,250600,249100,251300,252100,254600,255100,256500,259200,267300,276500,280900,279100,274100,271300,2.69E+05,271600,269600,270300,268800,2.7E+05,276100
2337,Hartford County,Connecticut,49,203500,202300,194800,193900,201200,206100,205800,204300,200200,199300,197200,198400,198200,204200,202900,201600,195600,197100,197900,198400,197900,197100,197300,196700,192200,190500,191100,195600,1.94E+05,196500,193300,194800,191600,190700,186600,1.85E+05,1.89E+05,195500,199600,2.01E+05,203600,203200,198900,195900,198800,203300,199800,198500,198500,203200,198600,196200,1.95E+05,197700,199800,2E+05,200500,199100,198600,200600,201600,207600,214900,222500,221400,2.16E+05,211700,212900,206100,204300,196900,205700,204700,
489,Duval County,Florida,50,90100,95800,96300,93800,87900,83200,78800,82700,87400,92800,9.2E+04,92100,90600,9.1E+04,90100,88100,8E+04,77800,81500,84800,86200,87700,89700,90600,84600,86300,8.5E+04,88300,89600,95100,100400,100600,1.03E+05,101400,98800,9.6E+04,9.6E+04,1.17E+05,118800,125200,114700,118200,116100,113700,112500,113700,114700,115500,119300,144300,154700,156200,134200,127300,123200,1.25E+05,121900,121900,123700,128800,136100,150500,162800,162900,149500,142500,144100,144300,146100,143200,145200,141100,142900,163500
3246,Prince Georges County,Maryland,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226400,224700,226400,225300,2.28E+05,231100,235300,2.36E+05,236500,2.36E+05,239100,241600,246100,250200,252200,2.52E+05,253800,256100,262900,2.64E+05,266100,261700,258100,254800,255100,257500,258600,260700,262700,262700,268300,274400,279900,274100,2.66E+05,264100,265100,267600,264900,265800,269500,271600,
2815,New Haven County,Connecticut,52,189300,184800,181500,185700,185200,185500,184200,187800,1.94E+05,195700,193600,1.9E+05,183900,184700,183700,189300,186300,185300,185500,1.83E+05,182500,180500,183500,184100,182300,177400,178200,1.83E+05,184700,183200,180400,1.86E+05,186600,1.84E+05,176600,175100,180700,185400,190400,185500,188200,188400,191800,188300,186900,187800,191100,193600,1.94E+05,192600,191100,187100,187200,190500,195300,196800,192800,194300,194600,197500,201900,204400,208300,211300,210900,210300,2.05E+05,204500,202200,2E+05,197800,198600,193700,
